Sentence ID,Label,Sentence
F1291175003856_NEG_S1,material fact,The shares of Transgene Biotek Limited (hereinafter referred to as “TBL company”) are listed on Bombay Stock Exchange (hereinafter referred to as “BSE”) and Hyderabad Stock Exchange (hereinafter referred to as “HSE”). 
F1291175003856_NEG_S2,material fact,SEBI conducted an investigation into the affairs relating to buying and selling and dealing in the shares of TBL.
F1291175003856_NEG_S3,material fact,"The investigation covered the period from November 26, 2005 to December 21, 2005."
F1291175003856_NEG_S4,material fact,"During the said investigation period, the shares of TBL got traded at BSE only."
F1291175003856_NEG_S5,material fact,"The investigation conducted by SEBI revealed that Dr K Koteswara Rao (hereinafter referred to as “Noticee”), Promoter cum Chairman and Managing Director of TBL, had acquired 11,12,000 shares (7.40% of the paid-up capital) in June 2006 from his son Mr. K Srinivas through an off- market transaction. "
F1291175003856_NEG_S6,material fact,"SEBI observed that the Noticee had informed about the said acquisition on July 5, 2006."
F1291175003856_NEG_S7,allegation,"It was alleged that the Noticee failed to make necessary disclosures on time, a. to the company in terms of regulations 13(4) and 13(5) of SEBI (Prohibition of Insider Trading) Regulations, 1992 (hereinafter referred to as “SEBI (PIT)”) b. to the company and stock exchanges in terms of regulation 7(1) read with 7(2) of SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 1997 (hereinafter referred to as “SAST”) c. to the stock exchange s in terms of regulation 3(3) of SAST, 4 working days in advance of the date of the proposed acquisition as the acquisition was an inter-se transfer of shares amongst relatives."
F1291175003856_NEG_S8,allegation,"It was alleged that the Noticee had violated the provisions of the said regulations and therefore, liable for monetary penalty under section 15A(b) of the Securities and Exchange Board of India Act, 1992 (hereinafter referred to as ‘SEBI Act’). "
F1291175003856_NEG_S9,procedural fact,"Mr. Piyoosh Gupta was appointed as Adjudicating Officer, vide order dated August 3, 2007 under section 15 I of the SEBI Act read with rule 3 of SEBI (Procedure for Holding Inquiry and Imposing Penalty by Adjudicating Officer) Rules, 1995 (hereinafter referred to as the ‘Rules’) to inquire into and adjudge under section 15A(b) of the SEBI Act the alleged violation of regulation regulations 13(4) read with 13(5) of SEBI (PIT) and regulations 3(3) and 7(1) read with 7(2) of SAST."
F1291175003856_NEG_S10,procedural fact,"Consequent upon the transfer of Mr. Piyoosh Gupta, the undersigned was appointed as the Adjudicating Officer vide order dated November 19, 2007 "
F1291175003856_NEG_S11,procedural fact,"Show Cause Notice (hereinafter referred to as “SCN”) dated January 4, 2008 was issued to the Noticee under rule 4 of the Rules to show cause as to why an inquiry should No be initiated against him and penalty be No imposed under section 15A(b) of SEBI Act for the alleged violation of regulations 13(4) read with 13(5) of SEBI (PIT) and regulations 3(3) and 7(1) read with 7(2) of SAST."
F1291175003856_NEG_S12,procedural fact,"The Noticee replied vide letter dated February 9, 2008. "
F1291175003856_NEG_S13,defendant claim,"The submissions of the Noticee, inter alia, are as under: • It had already been submitted in our correspondence to the Bombay Stock Exchange Limited and Securities and Exchange Board of India that I had informed the company on July 5, 2006 as per regulation 13(4) and 13(5) of SEBI (PIT) and regulations 7(1) and 7(2) of SAST regarding acquisition of 11,12,000 Equity Share by me from my son K Srinivas."
