Sentence ID,Label,Sentence
F1509190608413_S1,material fact,"Securities and Exchange Board of India (hereinafter referred to as ‘SEBI’) had conducted an examination in respect of buying, selling and dealing in the shares of Insta Finance Limited (hereinafter referred to as ‘IFL’)."
F1509190608413_S2,material fact,The shares of IFL are listed on BSE Limited (hereinafter referred to as ‘BSE’). 
F1509190608413_S3,material fact,"It was observed by a department of SEBI (hereinafter referred to as ‘ISD’) that the shareholding of Dadimaa Capital Private Limited (hereinafter referred to as ‘Noticee’) in IFL as on August 01, 2013 was 7,34,400 shares (i.e. 3.67% of total shareholding of IFL)."
F1509190608413_S4,material fact," Upon acquisition of 4,21,624 (i.e. 2.11%) shares on August 12, 2013 by the Noticee in off-market, its shareholding had increased to 11,56,024 shares (i.e. 5.78% of total shareholding of IFL)."
F1509190608413_S5,allegation," It was alleged that Noticee on crossing the threshold limit of 5% on August 12, 2013, was required to make the disclosures to IFL and to BSE as per regulation 29(1) read with regulation 29(3) of SEBI (Substantial Acquisition of Shares & Takeover) Regulations, 2011 (hereinafter referred to as ‘SAST Regulations, 2011’) i.e. within two days from the Adjudication Order in respect of Dadimaa Capital Pvt Ltd in the matter of Insta Finance Limited date of acquisition, which Noticee is alleged to have failed to do."
F1509190608413_S6,allegation,"Thus, it is alleged that Noticee has violated the provisions of regulation 29(1) read with regulation 29(3) of SAST Regulations, 2011."
F1509190608413_S7,allegation," It was further alleged that Noticee while crossing the threshold limit of 5% specified under regulation 13(1) of SEBI (Prohibition of Insider Trading) Regulations, 1992 (hereinafter referred to as ‘PIT Regulations’), was required to make the disclosures to IFL as per regulation 13(1) of PIT Regulations i.e. within two working days from the date of acquisition, which the Noticee is alleged to have failed to do."
F1509190608413_S8,allegation,"Thus, it is alleged that Noticee has violated the provisions of regulation 13(1) of PIT Regulations."
F1509190608413_S9,material fact,"It was further observed by ISD that the shareholding of the Noticee in IFL prior to November 21, 2013 was 10,96,024 shares (i.e. 5.48% of total shareholding of IFL)."
F1509190608413_S10,material fact,"Upon selling of 10,00,000 shares (5.00%) of IFL by the Noticee on November 21, 2013 in off-market, its shareholding in IFL had decreased to 96,024 shares (i.e. 0.48% of total shareholding of IFL). "
F1509190608413_S11,allegation,"It was alleged that the Noticee was required to make the disclosures to IFL and to BSE, in accordance with the provisions of regulation 29(2) read with regulation 29(3) of SAST Regulations 2011 i.e. within two working days from the date of transaction, which Noticee is alleged to have failed to do. "
F1509190608413_S12,allegation,"Thus, it is alleged that Noticee has violated the provisions of regulation 29(2) read with regulation 29(3) of SAST Regulations 2011."
F1509190608413_S13,allegation,"With respect to the change of more than 2% of shareholding of the Noticee in IFL on November 21, 2013, the Noticee was required to make the disclosures to IFL, in accordance with the provisions of regulation 13(3) read with regulation 13(5) of PIT Regulations i.e. within two working days from the date of transaction which Noticee is alleged to have failed to do. "
F1509190608413_S14,allegation,"Thus, it is alleged that Noticee has violated the provisions of regulation 13(3) read with regulation 13(5) of PIT Regulations."
F1509190608413_S15,procedural fact,"Shri Jayanta Jash was appointed as Adjudicating Officer (hereinafter referred to as ‘AO’) vide order dated June 18, 2014 under section 15-I of Securities and Exchange Board of India Act, 1992 (hereinafter referred to as ‘SEBI Act’) read with Rule 3 of SEBI (Procedure for Holding Inquiry and Imposing Penalties by Adjudicating Officer) Rules, 1995 (hereinafter referred to as ‘AO Rules’) to inquire into and adjudge the alleged violation under the provisions of Section 15A(b) of SEBI Act. "
F1509190608413_S16,procedural fact,"Consequent upon transfer of Shri Jayanta Jash, the undersigned has been appointed as AO vide order dated June 22, 2015 to inquire and adjudge the matter. "
F1509190608413_S17,procedural fact,"A Show Cause Notice dated September 05, 2014 (hereinafter referred to as ‘SCN’) was issued by the previous AO to the Noticee, under Rule 4 of the AO Rules calling upon it to show cause as to why an inquiry should No be held and penalty be No imposed on it under section 15A(b) of SEBI Act for the alleged violations of regulation 29(1) read with regulation 29(3) of SAST Regulations, 2011, regulation 13(1) of PIT Regulations, regulation 29(2) read with regulation 29(3) of SAST Regulations, 2011 and regulation 13(3) read with regulation 13(5) of PIT Regulations. "
F1509190608413_S18,procedural fact,"From the documents available on records, It is noted that the SCN issued to the Noticee was sent at “201, Indrapuri, Govind Nagar, Sodawala Lane, Borivali (West), Mumbai – 400092” through hand delivery and the same was returned undelivered with remark “consignee shifted”."
F1509190608413_S19,procedural fact,"Pursuant to the appointment of the undersigned, in the interest of natural justice and in order to conduct an inquiry in terms of Rule 4(3) of the AO Rules, the Noticee was granted an opportunity of hearing on October 12, 2015, vide notice of hearing dated September 11, 2015 at SEBI, Head Office, Mumbai."
F1509190608413_S20,procedural fact,"The notice of hearing dated September 11, 2015, along with a copy of SCN dated September 05, Adjudication Order in respect of Dadimaa Capital Pvt Ltd in the matter of Insta Finance Limited 2014 was served upon the Noticee at the address mentioned at para 8 above, through affixture in accordance with Rule 7(c) of AO Rules."
F1509190608413_S21,procedural fact,"However, the Noticee failed to submit any reply to the SCN and also failed to appear for the hearing on October 12, 2015. "
F1509190608413_S22,procedural fact,"Further, the Noticee was granted an opportunity of hearing on June 19, 2017, vide notice of hearing dated May 25, 2017 at SEBI, NCL Building, Mumbai and a copy of SCN dated September 05, 2014 was also enclosed. Vide the said Notice, the Noticee was also advised to submit a reply to the SCN on or before June 16, 2017."
F1509190608413_S23,procedural fact,The said Notice was delivered at the address mentioned at para 8 above by way of hand delivery.
F1509190608413_S24,procedural fact, Proof of service is on record.
F1509190608413_S25,procedural fact,"However, the Noticee failed to submit any reply to the SCN and also failed to appear for the hearing on June 19, 2017."
F1509190608413_S26,statutory fact,"In view of the aforesaid steps taken and as per Rule 4(7) of AO Rules, if any person fails, neglects or refuses to appear as required by sub-rule (3) before the Adjudicating Officer, he may proceed with the inquiry in the absence of such person after recording the reasons for doing so. "
F1509190608413_S27,procedural fact,"Thus, the undersigned is proceeding with the matter on the basis of material available on record. "
F1509190608413_S28,issues framed,"After perusal of the material available on record, I have the following issues for consideration viz. I. Whether the Noticee has violated the provisions of regulation 29(1) read with regulation 29(3) of SAST Regulations, 2011, regulation 13(1) of PIT Regulations, regulation 29(2) read with regulation 29(3) of SAST Regulations, 2011 and regulation 13(3) read with regulation 13(5) of PIT Regulations?"
F1509190608413_S29,issues framed,II. Whether the Noticee is liable for monetary penalty under Section 15A (b) of the SEBI Act?
F1509190608413_S30,issues framed," III. If so, what quantum of monetary penalty should be imposed on the Noticee?"
F1509190608413_S31,procedural fact,"On perusal of the material available on record and giving regard to the facts and circumstances of the case, I record my findings hereunder."
F1509190608413_S32,issues framed," ISSUE I: Whether the Noticee has violated the provisions of regulation 29(1) read with regulation 29(3) of SAST Regulations, 2011, regulation 13(1) of PIT Regulations, regulation 29(2) read with regulation 29(3) of SAST Regulations, 2011 and regulation 13(3) read with regulation 13(5) of PIT Regulations?"
F1509190608413_S33,statutory fact,"I note the provisions of regulations 29(1), 29(2) and regulation 29(3) of SAST Regulations, 2011 read as under:- Disclosure of acquisition and disposal 29. (1) Any acquirer who acquires shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, aggregating to five per cent or more of the shares of such target company, shall disclose their aggregate shareholding and voting rights in such target company in such form as may be specified."
F1509190608413_S34,statutory fact,"(2) Any acquirer, who together with persons acting in concert with him, holds shares or voting rights entitling them to five per cent or more of the shares or voting rights in a target company, shall disclose every acquisition or disposal of shares of such target company representing two per cent or more of the shares or voting rights in such target company in such form as may be specified."
F1509190608413_S35,statutory fact,"(3) The disclosures required under sub-regulation (1) and sub-regulation (2) shall be made within two working days of the receipt of intimation of allotment of shares, or the acquisition of shares or voting rights in the target company to,- (a) every stock exchange where the shares of the target company are listed ; and (b) the target company at its registered office. "
F1509190608413_S36,statutory fact,"The provisions of regulation 13 of PIT Regulations are reproduced hereunder:- Initial Disclosure (1) Any person who holds more than 5% shares or voting rights in any listed company shall disclose to the company in Form A, the number of shares or voting rights held by such person, on becoming such holder, within 2 working days of :— (a) the receipt of intimation of allotment of shares; or (b) the acquisition of shares or voting rights, as the case may be."
F1509190608413_S37,statutory fact, … Continual Disclosure.
F1509190608413_S38,statutory fact,"(3) Any person who holds more than 5% shares or voting rights in any listed company shall disclose to the company in Form C the number of shares or voting rights held and change in shareholding or voting rights, even if such change results in shareholding falling below 5%, if there has been change in such holdings from the last disclosure made under sub-regulation (1) or under this sub-regulation; and such change exceeds 2% of total shareholding or voting rights in the company.. ... "
F1509190608413_S39,statutory fact,"(5) The disclosure mentioned in sub-regulations (3), (4) and (4A) shall be made within two working days of : (a) the receipts of intimation of allotment of shares, or (b) the acquisition or sale of shares or voting rights, as the case may be. …"
F1509190608413_S40,allegation,"The alleged violation of provisions of Regulation 29(1) read with 29(3) of SAST Regulations, 2011 and Regulation 13(1) of PIT Regulations is owing to the shareholding of the Noticee crossing 5% of the shares of IFL on August 12, 2013. "
F1509190608413_S41,allegation,"Further, the alleged violation of provisions of regulation 29(2) read with 29(3) of SAST Regulations, 2011 and regulation 13(3) read with 13(5) of PIT Regulations is owing to the change of more than 2% in Noticee’s shareholding in IFL on November 21, 2013 while holding more than 5% shares of IFL."
